index,category,definition,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
79,toys,game,0.01,0.03,0.06,0.12,0.12,0.18,0.3,0.3,0.41,0.43,0.46,0.58,0.74,0.68,0.82
80,toys,glue,0,0,0.03,0.05,0.05,0.06,0.11,0.12,0.19,0.24,0.3,0.38,0.51,0.45,0.59
81,toys,pen,0.07,0.1,0.18,0.25,0.3,0.4,0.44,0.53,0.55,0.62,0.68,0.69,0.83,0.73,0.86
82,toys,pencil,0.03,0.03,0.13,0.19,0.18,0.27,0.31,0.35,0.47,0.53,0.61,0.61,0.8,0.72,0.84
83,toys,play dough,0.01,0.03,0.07,0.08,0.12,0.17,0.26,0.29,0.36,0.45,0.46,0.5,0.65,0.59,0.73
84,toys,present,0.01,0.03,0.06,0.1,0.13,0.16,0.33,0.38,0.52,0.56,0.6,0.65,0.81,0.7,0.85
85,toys,puzzle,0.03,0.04,0.15,0.21,0.21,0.25,0.39,0.43,0.57,0.62,0.64,0.71,0.85,0.75,0.88
86,toys,story,0.03,0.06,0.12,0.18,0.18,0.28,0.36,0.42,0.53,0.54,0.61,0.66,0.81,0.73,0.84
87,toys,toy,0.13,0.15,0.32,0.43,0.44,0.51,0.58,0.69,0.71,0.78,0.85,0.84,0.94,0.88,0.96
88,food_drink,apple,0.33,0.43,0.57,0.63,0.68,0.71,0.85,0.89,0.87,0.89,0.92,0.95,0.98,0.95,0.97
89,food_drink,applesauce,0.05,0.05,0.14,0.15,0.23,0.28,0.39,0.45,0.48,0.5,0.53,0.57,0.73,0.65,0.84
90,food_drink,banana,0.52,0.55,0.65,0.73,0.75,0.76,0.87,0.9,0.87,0.91,0.92,0.93,0.98,0.94,0.97
91,food_drink,beans,0.07,0.09,0.21,0.26,0.28,0.38,0.41,0.45,0.51,0.51,0.67,0.62,0.78,0.62,0.82
92,food_drink,bread,0.15,0.14,0.3,0.38,0.41,0.48,0.59,0.64,0.7,0.78,0.78,0.84,0.93,0.9,0.94
93,food_drink,butter,0.04,0.05,0.12,0.18,0.25,0.29,0.43,0.44,0.52,0.59,0.67,0.71,0.82,0.73,0.85
94,food_drink,cake,0.08,0.1,0.25,0.32,0.37,0.4,0.58,0.63,0.76,0.77,0.81,0.84,0.92,0.89,0.93
95,food_drink,candy,0.07,0.12,0.23,0.34,0.35,0.4,0.5,0.6,0.67,0.75,0.81,0.79,0.92,0.87,0.93
96,food_drink,carrots,0.06,0.07,0.19,0.23,0.26,0.35,0.43,0.47,0.57,0.6,0.69,0.69,0.86,0.8,0.91
97,food_drink,cereal,0.11,0.14,0.3,0.37,0.38,0.49,0.51,0.63,0.68,0.74,0.81,0.77,0.92,0.86,0.94
98,food_drink,cheerios,0.16,0.19,0.27,0.29,0.34,0.39,0.47,0.52,0.52,0.6,0.63,0.69,0.79,0.74,0.84
99,food_drink,cheese,0.36,0.41,0.56,0.65,0.69,0.66,0.78,0.84,0.87,0.85,0.92,0.93,0.96,0.92,0.97
100,food_drink,chicken (food),0.08,0.09,0.24,0.31,0.36,0.44,0.53,0.57,0.64,0.72,0.74,0.82,0.9,0.84,0.91
101,food_drink,chocolate,0.03,0.04,0.11,0.14,0.21,0.23,0.38,0.41,0.5,0.51,0.59,0.68,0.79,0.74,0.87
102,food_drink,coffee,0.04,0.04,0.15,0.2,0.24,0.27,0.4,0.43,0.5,0.57,0.61,0.63,0.79,0.67,0.78
103,food_drink,coke,0.04,0.04,0.09,0.14,0.15,0.18,0.25,0.2,0.34,0.4,0.4,0.37,0.54,0.44,0.56
104,food_drink,cookie,0.38,0.36,0.57,0.69,0.66,0.69,0.78,0.84,0.88,0.91,0.94,0.91,0.98,0.94,0.98
105,food_drink,corn,0.05,0.08,0.17,0.24,0.27,0.29,0.44,0.49,0.56,0.6,0.71,0.73,0.84,0.75,0.88
106,food_drink,cracker,0.34,0.31,0.49,0.58,0.59,0.58,0.71,0.79,0.77,0.81,0.84,0.84,0.95,0.86,0.96
107,food_drink,donut,0.03,0.05,0.1,0.12,0.14,0.18,0.26,0.36,0.37,0.46,0.53,0.54,0.68,0.62,0.72
