"Word","Age","Freq","LogFreq"
"turkey","23",147,2.17026171539496
"turtle","23",280,2.44870631990508
"type","23",194,2.29003461136252
"uncle","23",150,2.17897694729317
"under","23",269,2.43136376415899
"up","23",373,2.57287160220048
"us","23",16,1.23044892137827
"vacuum","23",323,2.51054501020661
"vroom","23",374,2.57403126772772
"wait","23",256,2.40993312333129
"wake","23",64,1.81291335664286
"walk","23",283,2.45331834004704
"wanna","23",308,2.48995847942483
"was","23",20,1.32221929473392
"wash","23",333,2.52374646681156
"we","23",33,1.53147891704226
"were","23",12,1.11394335230684
"wet","23",607,2.78390357927274
"what","23",333,2.52374646681156
"when","23",137,2.13987908640124
"where","23",318,2.50379068305718
"which","23",17,1.25527250510331
"white","23",84,1.92941892571429
"who","23",260,2.41664050733828
"why","23",210,2.32428245529769
"will","23",27,1.44715803134222
"window","23",474,2.67669360962487
"windy","23",72,1.86332286012046
"wipe","23",285,2.45636603312904
"wish","23",14,1.17609125905568
"with","23",47,1.68124123737559
"wolf","23",60,1.78532983501077
"work","23",210,2.32428245529769
"would","23",9,1
"write","23",561,2.74973631556906
"yellow","23",120,2.08278537031645
"yes","23",97,1.99122607569249
"yesterday","23",23,1.38021124171161
"you","23",371,2.5705429398819
"your","23",216,2.33645973384853
"yourself","23",12,1.11394335230684
"yucky","23",575,2.76042248342321
"zipper","23",248,2.39619934709574
"zoo","23",183,2.26481782300954
"a","24",196,2.29446622616159
"about","24",32,1.51851393987789
"above","24",45,1.66275783168157
