"Age","Freq_100000w","Freq","No_of_transcripts","TotalFreq","Word","LogFreq"
"36.0","61","15","250","242145","cute",1.20411998265592
"39.0","58","11","236","189088","cute",1.07918124604762
"42.0","108","17","215","156791","cute",1.25527250510331
"45.0","19","3","249","156558","cute",0.602059991327962
"48.0","35","5","221","140589","cute",0.778151250383644
"51.0","53","6","154","112895","cute",0.845098040014257
"54.0","44","17","173","385725","cute",1.25527250510331
"57.0","61","7","182","113300","cute",0.903089986991944
"60.0","0","0","120","80352","cute",0
"63.0","122","6","108","48940","cute",0.845098040014257
"66.0","95","5","157","52266","cute",0.778151250383644
"69.0","148","6","117","40283","cute",0.845098040014257
"12","64","1","180","15597","dark",0.301029995663981
"15.0","0","0","87","33500","dark",0
"18.0","82","7","243","84684","dark",0.903089986991944
"21.0","85","14","297","164518","dark",1.17609125905568
"24.0","242","69","456","284427","dark",1.84509804001426
"27.0","163","66","616","402831","dark",1.82607480270083
"30.0","177","72","486","406497","dark",1.86332286012046
"33.0","246","82","361","332325","dark",1.91907809237607
"36.0","128","31","250","242145","dark",1.50514997831991
"39.0","163","31","236","189088","dark",1.50514997831991
"42.0","108","17","215","156791","dark",1.25527250510331
"45.0","134","21","249","156558","dark",1.34242268082221
"48.0","113","16","221","140589","dark",1.23044892137827
"51.0","106","12","154","112895","dark",1.11394335230684
"54.0","75","29","173","385725","dark",1.47712125471966
"57.0","97","11","182","113300","dark",1.07918124604762
"60.0","199","16","120","80352","dark",1.23044892137827
"63.0","61","3","108","48940","dark",0.602059991327962
"66.0","191","10","157","52266","dark",1.04139268515823
"69.0","273","11","117","40283","dark",1.07918124604762
"12","641","10","180","15597","dirty",1.04139268515823
"15.0","1014","34","87","33500","dirty",1.54406804435028
"18.0","708","60","243","84684","dirty",1.78532983501077
"21.0","389","64","297","164518","dirty",1.81291335664286
"24.0","305","87","456","284427","dirty",1.94448267215017
"27.0","290","117","616","402831","dirty",2.07188200730613
"30.0","361","147","486","406497","dirty",2.17026171539496
"33.0","198","66","361","332325","dirty",1.82607480270083
"36.0","256","62","250","242145","dirty",1.79934054945358
"39.0","237","45","236","189088","dirty",1.66275783168157
"42.0","184","29","215","156791","dirty",1.47712125471966
